run_dir,checkpoint_path,teammate_embed_dim,objective_hidden_dim,set_hidden_dim,fusion_hidden_dim,objective_num_layers,ff_expansion,num_set_blocks,dropout,learning_rate,weight_decay,batch_size,best_epoch,stop_reason,val_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1,best_val_loss,best_val_macro_f1_during_training
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_380_h256_objh384_te256_fu384_obj2_ff4_blocks3_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_380_h256_objh384_te256_fu384_obj2_ff4_blocks3_drop0p1_lr0p0005_wd0p0001/best_model.pt,256,384,256,384,2,4,3,0.1,0.0005,0.0001,512,2,early_stopping_val_loss_overfit_patience_3,0.3779313386752922,0.3095692171642512,0.3684452768700688,0.42228505147165435,0.40220225737579257,0.4157879549967294,6.305384265051948,0.3095692171642512
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_006_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_006_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p1_lr0p0005_wd0p0001/best_model.pt,64,128,128,128,1,2,5,0.1,0.0005,0.0001,512,3,early_stopping_val_loss_overfit_patience_3,0.37749025950158055,0.3093732022341845,0.3709408087966547,0.40662606930549516,0.3839742033881444,0.39097445430705036,4.318711086555764,0.3093732022341845
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_027_h128_objh128_te64_fu128_obj1_ff2_blocks4_drop0p15_lr0p001_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_027_h128_objh128_te64_fu128_obj1_ff2_blocks4_drop0p15_lr0p001_wd0p0001/best_model.pt,64,128,128,128,1,2,4,0.15,0.001,0.0001,512,2,early_stopping_val_loss_overfit_patience_3,0.36888921561420274,0.3001656012333899,0.3566468800048799,0.40959837610555316,0.3908386479321418,0.39531316819094203,4.410532430366233,0.3001656012333899
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_130_h192_objh256_te128_fu256_obj1_ff4_blocks4_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_130_h192_objh256_te128_fu256_obj1_ff4_blocks4_drop0p1_lr0p0005_wd0p0001/best_model.pt,128,256,192,256,1,4,4,0.1,0.0005,0.0001,512,3,early_stopping_val_loss_overfit_patience_3,0.3553627876203779,0.2986283908655088,0.3470086539448131,0.3884297520661157,0.388497922513617,0.3840034089040687,6.004920959472656,0.2986283908655088
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_266_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_266_h256_objh256_te128_fu256_obj1_ff2_blocks3_drop0p15_lr0p0005_wd0p0001/best_model.pt,128,256,256,256,1,2,3,0.15,0.0005,0.0001,512,4,early_stopping_val_loss_overfit_patience_3,0.3681540836580166,0.2963354302367223,0.3612467071357185,0.4225750326228795,0.3984458441610893,0.4100250561572353,5.914173090899432,0.2963354302367223
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_304_h256_objh256_te128_fu256_obj2_ff2_blocks4_drop0p2_lr0p0005_wd0p0005,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_304_h256_objh256_te128_fu256_obj2_ff2_blocks4_drop0p2_lr0p0005_wd0p0005/best_model.pt,128,256,256,256,2,2,4,0.2,0.0005,0.0005,512,3,early_stopping_val_loss_overfit_patience_3,0.3603616849224436,0.29517914966348663,0.3568230187584773,0.4013339132956358,0.37769817569379904,0.38184292467848524,5.094479075184575,0.29517914966348663
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_001_h128_objh128_te64_fu128_obj1_ff2_blocks3_drop0p1_lr0p001_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_001_h128_objh128_te64_fu128_obj1_ff2_blocks3_drop0p1_lr0p001_wd0p0001/best_model.pt,64,128,128,128,1,2,3,0.1,0.001,0.0001,512,1,early_stopping_val_macro_f1_patience_3,0.3821951040211718,0.2927623462656318,0.361754596080418,0.44446860954037987,0.4278695894670558,0.42662180042814096,5.294197585847643,0.2927623462656318
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_140_h192_objh256_te128_fu256_obj2_ff4_blocks3_drop0p1_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_140_h192_objh256_te128_fu256_obj2_ff4_blocks3_drop0p1_lr0p0005_wd0p0001/best_model.pt,128,256,192,256,2,4,3,0.1,0.0005,0.0001,512,4,early_stopping_val_loss_overfit_patience_3,0.3554363008159965,0.2920269228642577,0.34737154280238897,0.3913295635783674,0.3788450479050512,0.3930388728610042,4.954344007703993,0.2920269228642577
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_030_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p15_lr0p0005_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_030_h128_objh128_te64_fu128_obj1_ff2_blocks5_drop0p15_lr0p0005_wd0p0001/best_model.pt,64,128,128,128,1,2,5,0.15,0.0005,0.0001,512,4,early_stopping_val_loss_overfit_patience_3,0.36999191354848193,0.29171050785502767,0.3614336108124644,0.39712918660287083,0.37612297623423346,0.385062788483649,4.210468451182048,0.29171050785502767
/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_131_h192_objh256_te128_fu256_obj1_ff4_blocks5_drop0p1_lr0p001_wd0p0001,/home/cmantill/narrador-futbol/experiments/positions/grid_search_outputs/20260426_155024/runs/run_131_h192_objh256_te128_fu256_obj1_ff4_blocks5_drop0p1_lr0p001_wd0p0001/best_model.pt,128,256,192,256,1,4,5,0.1,0.001,0.0001,512,1,early_stopping_val_macro_f1_patience_3,0.34999632434021904,0.29166888167733335,0.34683716264418213,0.41902276352037116,0.38868146623513683,0.40449126867682245,5.7794703642527265,0.29166888167733335
